time,pitch,roll,yaw,ax,ay,az,gx,gy,gz,x,y,vx,vy
1732389387475,3.75684,-2.82033,-132.902,-0.0547552,-0.066081,0.997049,-0.00744629,0.0977783,0,-0.00195312,0.00195312,0,0
1732389387475,3.75174,-2.83334,-132.901,-0.0508881,-0.0583839,0.993416,-0.0704346,0.0410156,0,-0.00195312,0.00195312,0,0
1732389387538,3.75644,-2.82282,-132.901,-0.0507164,-0.0661383,0.993246,0.0435791,-0.267212,0,-0.00195312,0.00195312,0,0
1732389387538,3.77025,-2.83363,-132.902,-0.0465927,-0.0700722,0.989357,0.0424805,-0.263184,0,-0.00195312,0.00195312,0,0
1732389387598,3.75716,-2.83903,-132.901,-0.0469341,-0.0662003,0.997349,-0.18396,0.346924,0,-0.00195312,0.00195312,0,0
1732389387661,3.76653,-2.85643,-132.901,-0.0465069,-0.0739489,0.989271,-0.0106201,-0.0239258,0,-0.00195312,0.00195312,0,0
1732389387661,3.75917,-2.8503,-132.901,-0.0545416,-0.05832,0.985359,0.109253,-0.0865479,0,-0.00195312,0.00195312,0,0
1732389387723,3.74565,-2.83182,-132.902,-0.0426817,-0.0701313,0.989506,0.052002,0.102051,0,-0.00195312,0.00195312,0,0
1732389387786,3.74121,-2.82706,-132.902,-0.0429811,-0.0623798,0.993631,0.110107,-0.0905762,0,-0.00195312,0.00195312,0,0
1732389387786,3.73122,-2.8094,-132.902,-0.0468063,-0.0661974,0.993395,-0.0772705,-0.200562,0,-0.00195312,0.00195312,0,0
1732389387849,3.73309,-2.82275,-132.902,-0.0467205,-0.0584383,0.985659,-0.0090332,0.0369873,0,-0.00195312,0.00195312,0,0
1732389387850,3.72728,-2.82391,-132.902,-0.0506744,-0.0622587,0.989378,-0.0111084,-0.0218506,0,-0.00195312,0.00195312,0,0
1732389387911,3.73737,-2.83153,-132.902,-0.0430241,-0.0662594,0.997499,0.111816,-0.0297852,0,-0.00195312,0.00195312,0,0
1732389387974,3.71857,-2.84801,-132.901,-0.0505028,-0.070013,0.989206,0.108765,-0.151489,0,-0.00195312,0.00195312,0,0
1732389387974,3.68456,-2.84047,-132.9,-0.0505886,-0.0661354,0.989292,-0.0673828,0.162598,0,-0.00195312,0.00195312,0,0
1732389388037,3.71729,-2.83083,-132.901,-0.0505028,-0.070013,0.989206,0.0524902,0.032959,0,-0.00195312,0.00195312,0,0
1732389388099,3.71597,-2.83681,-132.901,-0.0545845,-0.0621996,0.989227,0.166382,-0.275146,0,-0.00195312,0.00195312,0,0
1732389388099,3.73138,-2.82473,-132.902,-0.0508451,-0.0661402,0.997198,0.050293,-0.0258789,0,-0.00195312,0.00195312,0,0
1732389388162,3.731,-2.81747,-132.902,-0.0507593,-0.0700178,0.997114,0.052002,0.0350342,0,-0.00195312,0.00195312,0,0
1732389388224,3.72842,-2.82445,-132.902,-0.0505886,-0.0661354,0.989292,-0.0725098,-0.0849609,0,-0.00195312,0.00195312,0,0
1732389388224,3.73407,-2.84772,-132.901,-0.0547552,-0.066081,0.997049,0.0510254,0.0390625,0,-0.00195312,0.00195312,0,0
